slug	version	glb_url	crosswalk_url
small-intestine-male	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/small-intestine-male/v1.2/assets/3d-vh-m-small-intestine.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/small-intestine-male/v1.2/assets/crosswalk.csv
spinal-cord-female	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/spinal-cord-female/v1.1/assets/3d-vh-f-spinal-cord.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/spinal-cord-female/v1.1/assets/crosswalk.csv
spinal-cord-male	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/spinal-cord-male/v1.1/assets/3d-vh-m-spinal-cord.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/spinal-cord-male/v1.1/assets/crosswalk.csv
spleen-female	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/spleen-female/v1.3/assets/3d-vh-f-spleen.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/spleen-female/v1.3/assets/crosswalk.csv
spleen-male	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/spleen-male/v1.3/assets/3d-vh-m-spleen.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/spleen-male/v1.3/assets/crosswalk.csv
sternum-female	v1.0	https://cdn.humanatlas.io/digital-objects/ref-organ/sternum-female/v1.0/assets/3d-vh-f-sternum.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/sternum-female/v1.0/assets/crosswalk.csv
thymus-female	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/thymus-female/v1.3/assets/3d-vh-f-thymus.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/thymus-female/v1.3/assets/crosswalk.csv
thymus-male	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/thymus-male/v1.3/assets/3d-vh-m-thymus.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/thymus-male/v1.3/assets/crosswalk.csv
trachea-female	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/trachea-female/v1.1/assets/3d-vh-f-trachea.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/trachea-female/v1.1/assets/crosswalk.csv
trachea-male	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/trachea-male/v1.1/assets/3d-vh-m-trachea.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/trachea-male/v1.1/assets/crosswalk.csv
united-female	v1.10	https://cdn.humanatlas.io/digital-objects/ref-organ/united-female/v1.10/assets/3d-vh-f-united.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/united-female/v1.10/assets/crosswalk.csv
united-male	v1.10	https://cdn.humanatlas.io/digital-objects/ref-organ/united-male/v1.10/assets/3d-vh-m-united.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/united-male/v1.10/assets/crosswalk.csv
ureter-female-left	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-female-left/v1.2/assets/3d-vh-f-ureter-l.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-female-left/v1.2/assets/crosswalk.csv
ureter-female-right	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-female-right/v1.2/assets/3d-vh-f-ureter-r.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-female-right/v1.2/assets/crosswalk.csv
ureter-male-left	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-male-left/v1.2/assets/3d-vh-m-ureter-l.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-male-left/v1.2/assets/crosswalk.csv
ureter-male-right	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-male-right/v1.2/assets/3d-vh-m-ureter-r.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/ureter-male-right/v1.2/assets/crosswalk.csv
urinary-bladder-female	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/urinary-bladder-female/v1.2/assets/3d-vh-f-urinary-bladder.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/urinary-bladder-female/v1.2/assets/crosswalk.csv
urinary-bladder-male	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/urinary-bladder-male/v1.2/assets/3d-vh-m-urinary-bladder.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/urinary-bladder-male/v1.2/assets/crosswalk.csv
uterus-female	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/uterus-female/v1.2/assets/3d-vh-f-uterus.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/uterus-female/v1.2/assets/crosswalk.csv
