# Z-Anatomy structure -> Latin name — GENERATED, do not edit by hand.
#
# Rebuild:  node scripts/build-latin-crosswalk.mjs --src <parts-catalog.json>
# Apply:    node scripts/apply-crosswalk.mjs public/models/z-anatomy.ao.glb \
#             public/models/z-anatomy-regions.ao.glb --tsv docs/z-anatomy-latin.tsv --field name_lat
#
# Joined from Anatomed (pitfa19/anatomed-mcp, CC BY-SA 4.0) by exact match on
# (name, side) after ordinal normalisation. The nomenclature is Z-Anatomy's;
# Anatomed extracted it. Both are credited — see licences.json and D24.
name	side	name_lat
Distal phalanx of second finger of foot	right	Phalanx distalis secundum digitorum pedis
Distal phalanx of third finger of foot	left	Phalanx distalis tertium digitorum pedis
Distal phalanx of third finger of foot	right	Phalanx distalis tertium digitorum pedis
Distal transverse arch of foot	left	Arcus transversus distalis pedis
Distal transverse arch of foot	right	Arcus transversus distalis pedis
Dorsal artery of penis	left	Arteria dorsalis penis
Dorsal artery of penis	right	Arteria dorsalis penis
Dorsal branch of ulnar nerve	left	Ramus dorsalis nervi ulnaris
Dorsal branch of ulnar nerve	right	Ramus dorsalis nervi ulnaris
Dorsal calcaneocuboid ligament	left	Ligamentum calcaneocuboideum dorsale
Dorsal calcaneocuboid ligament	right	Ligamentum calcaneocuboideum dorsale
Dorsal carpal anastomosis	left	Rete dorsale carpi
Dorsal carpal anastomosis	right	Rete dorsale carpi
Dorsal carpal branch of ulnar artery	left	Ramus carpeus dorsalis arteriae ulnaris
Dorsal carpal branch of ulnar artery	right	Ramus carpeus dorsalis arteriae ulnaris
Dorsal carpometacarpal ligaments	left	Ligamenta carpometacarpea dorsalia
Dorsal carpometacarpal ligaments	right	Ligamenta carpometacarpea dorsalia
Dorsal cuneocuboid ligament	left	Ligamentum cuneocuboideum dorsale
Dorsal cuneocuboid ligament	right	Ligamentum cuneocuboideum dorsale
Dorsal cuneonavicular ligaments	left	Ligamenta cuneonavicularia dorsalia
Dorsal cuneonavicular ligaments	right	Ligamenta cuneonavicularia dorsalia
Dorsal digital arteries of foot	left	Arteriae digitales dorsales pedis
Dorsal digital arteries of foot	right	Arteriae digitales dorsales pedis
Dorsal digital arteries of hand	left	Arteriae digitales dorsales manus
Dorsal digital arteries of hand	right	Arteriae digitales dorsales manus
Dorsal digital branches of deep fibular nerve	left	Rami digitales dorsales nervi fibularis profundi
Dorsal digital branches of deep fibular nerve	right	Rami digitales dorsales nervi fibularis profundi
Dorsal digital branches of radial nerve	left	Rami digitales dorsales nervi radialis
Dorsal digital branches of radial nerve	right	Rami digitales dorsales nervi radialis
Dorsal digital branches of superficial fibular nerve	left	Rami digitales dorsales nervi fibularis superficialis
Dorsal digital branches of superficial fibular nerve	right	Rami digitales dorsales nervi fibularis superficialis
Dorsal digital branches of ulnar nerve	left	Rami digitales dorsales nervi ulnaris
Dorsal digital branches of ulnar nerve	right	Rami digitales dorsales nervi ulnaris
Dorsal digital veins of foot	left	Venae digitales dorsales pedis
Dorsal digital veins of foot	right	Venae digitales dorsales pedis
Dorsal digital veins of hand	left	Venae digitales dorsales manus
Dorsal digital veins of hand	right	Venae digitales dorsales manus
Dorsal fascia of hand	left	Fascia dorsalis manus
